Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Hereu SC,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,,,nur zwischen der letzten Septemberdekade und der ersten Maidekade,,,nur zwischen der letzten Septemberdekade und der ersten Maidekade
Hergon L,7,,,7,7,7,,
Hopper 480,"6,75 l/Jahr",,,,"6,75 l/Jahr",,,
Hopper Green,9 l/Jahr,,,,9 l/Jahr,,,
Hydroram Progress,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Idrorame 193,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Idrorame Flow,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
"Imidan 23,5 WDG",max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Imidan 50 WP,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Imidan EC,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Imidan WDG,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Impero,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Indofil-MZ-3-WP,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Intrepid,"max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr","max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr",,"max. 2 Behandlungen mit Methoxyfenozid pro Jahr, max. 3 Behandlungen mit Chitinsynthesehemmern und Häutungsbeschleunigern pro Jahr"
Iperion,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Isomate C LR,1000 St.,,,,1000 St.,,,
Isomate C LR MAX TT,750 St.,,,,750 St.,,,
Isomate C Plus,1000 St.,,,,1000 St.,,,
Isomate C TT,500 St.,,,,500 St.,,,
Isomate C/OFM,1000 St.,,,,1000 St.,,,
Isomate CM Mister 1.0,3 St.,,,,3 St.,,,
Isomate OFM rosso Flex,600 St.,,,,600 St.,,,
Isonet Z,300 St.,,,,300 St.,,,
Jupiter WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Juvinal Echo,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Juvinal Echo Plus,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Juvinal Gold,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Kanemite,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Karathane Star,al massimo 2 trattamenti all'anno nel periodo compreso dallo stadio di orecchiette di topo e l’inizio della fioritura,,al massimo 2 trattamenti all'anno nel periodo compreso dallo stadio di orecchiette di topo e l’inizio della fioritura,al massimo 2 trattamenti all'anno nel periodo compreso dallo stadio di orecchiette di topo e l’inizio della fioritura,al massimo 2 trattamenti all'anno nel periodo compreso dallo stadio di orecchiette di topo e l’inizio della fioritura,al massimo 2 trattamenti all'anno nel periodo compreso dallo stadio di orecchiette di topo e l’inizio della fioritura,,al massimo 2 trattamenti all'anno nel periodo compreso dallo stadio di orecchiette di topo e l’inizio della fioritura
Karma 85,1,,1,,1,1,,
Katar,80,,80,,80,80,,
Kauritil Ultra WG,max. 4 kg Reinkupfer pro ha und Jahr,,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Kelly WG,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Kentan DF,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Kestrel,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege",,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege","max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege",,"max. 2 Behandlungen mit Acetamiprid pro Jahr, zusätzlich max. 2 Behandlungen mit Acetamiprid pro Jahr gegen Maikäfer, Marmorierte Baumwanze oder Mittelmeerfruchtfliege"
Khapo 80 WG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
King,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
King 360 HP,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Klartan 20 EW,30,,30,30,30,30,,
Kocide 2000,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Kop-Twin,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Kristal 32 WG,"1,5 kg",,"1,5 kg","1,5 kg","1,5 kg",,,
Kuki 70,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Kumulus Tecno,5,,5,,5,5,,
Kupper 20 WG,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Lascar,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Laser,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr
Lepiback,3,,3,3,3,3,,
Lepinox Plus,"1,5 kg",,,,"1,5 kg",,,
Lidal,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Litar,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
M70 DF,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Maccani,"max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr","max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr",,"max. 14 Behandlungen mit Captan und Dithianon pro Jahr, max. 3 Behandlungen mit Strobilurinen pro Jahr"
Machairas WG,5,,,5,,5,,
Madex 100,3,,,3,3,3,,
Madex Top,3,,3,,3,3,,
Madex Twin,3,,3,,3,3,,
Maestro WG Advance,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr,,max. 10 Behandlungen mit Fosetyl-Aluminium und Kaliumphosphonat pro Jahr
Mago,"1,5 l",,,"1,5 l","1,5 l",,,
Make up 80 WDG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Malvin 80 WG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Mancosim 75 DF,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Mancozeb Plus 75 WG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Manfil 75 WG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Mantir 75 WG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Mantir DG,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Mantir Go,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr","max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr",,"max. 4 Behandlungen mit Mancozeb pro Jahr, max. 5 Behandlungen mit Dithiocarbamaten pro Jahr"
Maracana,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Marisol,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Masai 20 WP,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Matacar FL,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
